                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.169,                 3.3285,                 1.5964,                0.66982,                0.91252,                0.93044,                0.63416,                 1.5186,                 1.2232,                  1.321,                      0,                      0,                      0
                      2,                 1.2287,                 2.9227,                 1.5514,                0.78653,                0.66667,                0.90327,                0.61274,                 1.5461,                 1.2157,                 1.3285,             1.1861e-06,             1.1861e-06,             1.1861e-06
                      3,                0.87271,                 3.1031,                 1.3032,                0.77913,                0.66667,                 0.9045,                0.61482,                 1.5642,                 1.2191,                 1.3384,             2.3643e-06,             2.3643e-06,             2.3643e-06
                      4,                 1.3282,                 3.0984,                 1.6628,                0.78053,                0.66667,                0.89891,                0.62157,                 1.5796,                 1.2241,                 1.3421,             3.5347e-06,             3.5347e-06,             3.5347e-06
                      5,                 1.0269,                 3.6127,                 1.3969,                 0.7759,                0.66667,                0.89967,                0.61303,                 1.5917,                  1.228,                 1.3478,             4.6972e-06,             4.6972e-06,             4.6972e-06
                      6,                  1.131,                 2.4378,                 1.2922,                 0.5413,                0.93333,                 0.9005,                0.61161,                 1.6159,                 1.2257,                 1.3563,             5.8518e-06,             5.8518e-06,             5.8518e-06
                      7,                 1.6013,                 3.3123,                 2.0656,                0.53895,                0.93333,                0.90106,                0.59604,                 1.6115,                 1.2283,                 1.3615,             6.9986e-06,             6.9986e-06,             6.9986e-06
                      8,                 1.1068,                 2.3525,                 1.3947,                0.74607,                0.66667,                0.89959,                0.59577,                 1.6287,                 1.2375,                 1.3681,             8.1376e-06,             8.1376e-06,             8.1376e-06
                      9,                 1.2379,                 2.9682,                 1.6591,                0.53714,                   0.85,                 0.9001,                0.59439,                  1.641,                 1.2581,                 1.3786,             9.2687e-06,             9.2687e-06,             9.2687e-06
                     10,                 1.6174,                 3.1891,                 1.9128,                0.65545,                0.75563,                0.92793,                0.60317,                 1.6528,                 1.2723,                 1.3861,             1.0392e-05,             1.0392e-05,             1.0392e-05
                     11,                 1.1255,                 2.4512,                 1.4591,                0.65933,                0.75529,                0.92873,                0.60261,                 1.6601,                 1.2763,                 1.3901,             1.1507e-05,             1.1507e-05,             1.1507e-05
                     12,                 1.0299,                 2.4491,                 1.4145,                0.65839,                0.75678,                0.92891,                 0.6026,                 1.6857,                 1.2858,                 1.4041,             1.2615e-05,             1.2615e-05,             1.2615e-05
                     13,                 1.1576,                 2.9893,                 1.5209,                 0.6605,                0.75476,                0.92965,                0.60248,                 1.6864,                 1.2824,                 1.4009,             1.3715e-05,             1.3715e-05,             1.3715e-05
                     14,                 1.1497,                 2.7194,                 1.5233,                0.66312,                0.74941,                0.92982,                 0.5942,                 1.7103,                 1.3187,                 1.4129,             1.4806e-05,             1.4806e-05,             1.4806e-05
                     15,                 1.1638,                 2.9189,                 1.4676,                0.64544,                0.91139,                0.93292,                0.59556,                 1.7305,                 1.3231,                 1.4192,              1.589e-05,              1.589e-05,              1.589e-05
                     16,                 1.2138,                 2.2867,                 1.3716,                0.60423,                0.92302,                0.93296,                 0.5956,                 1.7376,                 1.3345,                 1.4243,             1.6966e-05,             1.6966e-05,             1.6966e-05
                     17,                0.94391,                 1.6777,                 1.3135,                0.60608,                0.92474,                0.93408,                0.60455,                 1.7411,                 1.3594,                 1.4325,             1.8035e-05,             1.8035e-05,             1.8035e-05
                     18,                 1.0473,                   2.23,                 1.3951,                0.60608,                0.92474,                0.93408,                0.60455,                 1.7411,                 1.3594,                 1.4325,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     19,                  1.829,                 4.3452,                 2.0871,                0.64658,                0.72892,                0.93482,                0.61298,                 1.7591,                 1.3702,                 1.4473,             2.0148e-05,             2.0148e-05,             2.0148e-05
                     20,                 1.3901,                 3.2294,                 1.7469,                0.64658,                0.72892,                0.93482,                0.61298,                 1.7591,                 1.3702,                 1.4473,             2.1192e-05,             2.1192e-05,             2.1192e-05
                     21,                 0.8851,                 2.0738,                 1.4382,                0.68908,                    0.6,                 0.8493,                0.58638,                 1.7607,                 1.3968,                 1.4522,             2.2229e-05,             2.2229e-05,             2.2229e-05
                     22,                 1.0684,                  2.236,                 1.3084,                0.68908,                    0.6,                 0.8493,                0.58638,                 1.7607,                 1.3968,                 1.4522,             2.3258e-05,             2.3258e-05,             2.3258e-05
                     23,                0.95593,                 1.9787,                 1.4265,                0.69454,                0.61667,                 0.8172,                0.56376,                 1.7969,                 1.4207,                 1.4735,             2.4279e-05,             2.4279e-05,             2.4279e-05
                     24,                0.83713,                 1.4383,                 1.1625,                0.69454,                0.61667,                 0.8172,                0.56376,                 1.7969,                 1.4207,                 1.4735,             2.5293e-05,             2.5293e-05,             2.5293e-05
                     25,                0.91773,                 1.3036,                 1.3293,                0.72882,                   0.45,                0.81761,                0.55848,                 1.7828,                 1.4568,                 1.4731,             2.6298e-05,             2.6298e-05,             2.6298e-05
                     26,                 1.1035,                 1.7963,                 1.2625,                0.72882,                   0.45,                0.81761,                0.55848,                 1.7828,                 1.4568,                 1.4731,             2.7296e-05,             2.7296e-05,             2.7296e-05
                     27,                0.91924,                 2.0542,                 1.4888,                0.90876,                0.41069,                0.81829,                0.55421,                 1.8065,                 1.4933,                 1.4837,             2.8285e-05,             2.8285e-05,             2.8285e-05
                     28,                 1.3635,                 1.8309,                 1.8105,                0.90876,                0.41069,                0.81829,                0.55421,                 1.8065,                 1.4933,                 1.4837,             2.9267e-05,             2.9267e-05,             2.9267e-05
